フシギダネ,ひなたでひるねをするすがたをみかける。たいようのひかりをいっぱいあびることでせなかのタネがおおきくそだつのだ。
フシギソウ,つぼみをささえるためあしこしがつよくなる。ひなたでじっとするじかんがながくなればいよいよたいりんのはながさくころだ。
フシギバナ,じゅうぶんなえいようとたいようのひかりがはなのいろをあざやかにするといわれる。はなのかおりはひとのこころをいやす。
ヒトカゲ,しっぽのほのおはきぶんをひょうげん。たのしいときにはゆらゆらほのおがゆれておこったときにはめらめらさかんにもえる。
リザード,するどいツメでようしゃなくたたきのめす。きょうてきとむかいあうときぶんがたかぶりしっぽのほのおがあおじろくもえあがる。
リザードン,つよいあいてをもとめてそらをとびまわる。なんでもとかしてしまうこうねつのほのおをじぶんよりよわいものにむけることはしない。
ゼニガメ,こうらのやくめはみをまもるだけではない。まるいかたちとひょうめんのみぞがみずのていこうをへらすのではやくおよげるのだ。
カメール,ふさふさのけでおおわれたおおきなしっぽはながいきするほどふかいいろあいにかわる。こうらのキズはつわもののあかし。
カメックス,こうらのふんしゃこうのねらいはせいかく。みずのだんがんを50メートルはなれたあきかんにめいちゅうさせることができるぞ。
キャタピー,からだよりもおおきなはっぱをみるみるたべつくしてしまうほどのしょくよくをもつ。しょっかくからきょうれつなにおいをだすぞ。
トランセル,からだのカラはてっぱんのようにかたい。あまりうごかないのはカラのなかでやわらかいなかみがしんかのじゅんびをしているからだ。
バタフリー,おいしいはなのミツをさがすのうりょくにすぐれすみかから10キロはなれたばしょにさくはなからミツをあつめてはこんでいる。
ビードル,とてもするどいきゅうかくをもっている。こうぶつのはっぱかきらいなはっぱかおおきなあかいはなでかぎわける。
コクーン,ほとんどうごかずきにつかまっているがなかではしんかのじゅんびでおおいそがし。そのしょうこにからだがあつくなっているぞ。
スピアー,なわばりいしきがとてもつよいのでスピアーのすみかにはちかづかないほうがみのためだ。おこるとしゅうだんでおそってくるぞ。
ポッポ,ほうこうかんかくにとてもすぐれているのでどんなにはなれたばしょからでもまよわずにじぶんのすまでかえることができる。
ピジョン,ひろいなわばりをとんでみまわりをする。なわばりをあらすあいてはようしゃしない。するどいツメでてっていてきにこらしめるぞ。
ピジョット,うつくしいこうたくのはねをもつポケモン。あたまのはねのうつくしさにこころうばわれピジョットをそだてるトレーナーもおおい。
コラッタ,けいかいしんがとてもつよくねているときもみみをうごかしまわりのおとをきいている。どこにでもすみつきすをつくる。
ラッタ,じょうぶなキバはどんどんのびるのでいわやたいぼくをかじってけずっている。いえのカベをかじられることもあるよ。
オニスズメ,おおきななきごえは1キロさきまでとどく。あちこちでカンだかいこえがきこえるときはなかまたちにきけんをしらせているあいずだ。
オニドリル,ながいくびとくちばしはつちやみずのなかにいるエサをつかまえるのにべんり。ほそながいくちばしできようにつまむぞ。
アーボ,ぐるぐるからだをまいてやすんでいるのはどのほうこうからてきがおそってきてもとっさにあたまをむけていかくできるからだ。
アーボック,しめつけるちからはとてもきょうりょく。ドラムかんもぺしゃんこにしてしまうぞ。まきつかれたらにげだすことはふかのうだ。
ピカチュウ,はじめてみるものにはでんげきをあてる。くろこげのきのみがおちていたらそれはでんげきのつよさをまちがえたしょうこだよ。
ライチュウ,でんきぶくろにでんきがたまりすぎたときはしっぽをじめんにつけてほうでんする。すのちかくにはじめんにやけこげがある。
サンド,すいぶんをむだなくきゅうしゅうするからだのつくりなのでかんそうしたすなちでもへいき。からだをまるめててきのこうげきをふせぐ。
サンドパン,からだのトゲはひふがかたくなったもの。1ねんに1かいふるいトゲがぬけおちてあたらしいトゲがしたからはえてくる。
ニドラン♀,ちいさいからだをまもるためきょうりょくなどくばりがはったつしたとかんがえられている。おこるとツノのさきからもうどくをだす。
ニドリーナ,なかまやかぞくといっしょのときはおたがいきずつかないようにトゲがひっこんでいる。なかまからはなれるとふあんになるらしい。
ニドクイン,かたいウロコでおおわれたからだをぶつけてあいてをはじきとばすこうげきがとくいだ。こどもをまもるときがいちばんつよい。
ニドラン♂,みみをうごかすきんにくがはったつしていてどんなむきにもじざいにみみをうごかせる。かすかなものおともききもらさないポケモン。
ニドリーノ,ダイヤモンドよりもかたいツノをもつ。てきのけはいをかんじるとせなかのトゲがいっせいにさかだちぜんりょくでたちむかう。
ニドキング,ふといしっぽのひとふりはがんじょうなてっとうもへしおるすさまじいはかいりょく。いちどあばれだすとてがつけられない。
ピッピ,まんげつのよるはげんきいっぱいにあそぶ。あけがたつかれたピッピたちはしずかなやまおくでなかまたちとよりそってねむる。
ピクシー,つばさをつかってとぶようにスキップ。すいめんをあるくことだってできるのだ。しずかなつきよにみずうみをあるく。
ロコン,うまれたときはしろい1ぽんのしっぽ。あいじょうをたっぷりうけるとしっぽは6ぽんにわかれてみごとなまきげになる。
キュウコン,まっかなひとみはあやしいひかりをはなちあいてのこころをじざいにあやつる。1000ねんかんいきるといわれている。
プリン,こえのはちょうをじざいにかえるせいたいをもっているのであいてがいちばんねむくなるはちょうでうたをうたうことができる。
プクリン,おおきなまるいひとみのひょうめんにはなみだのうすいまくがいつもはっている。ほこりがついてもすぐにあらいながされる。
ズバット,ひるまくらやみでじっとしているのはたいようのひかりをながいじかんあびるとぜんしんがかるくやけどしてしまうからだ。
ゴルバット,いきもののけつえきがだいこうぶつ。とくにまよなかかつどうすることがおおくいきちをもとめてよぞらをとびまわる。
ナゾノクサ,ひるまじめんのなかにからだをうめてつちのえいようをぜんしんですいあげている。こえたつちほどはっぱにツヤがでるという。
クサイハナ,きけんをかんじるとめしべのはなつくさいにおいはさらにつよまるがこころおだやかなときはくさいにおいをださないのだ。
ラフレシア,どくかふんはひどいアレルギーをおこす。ジャングルでうつくしいはなをみつけてもうかつにちかよらないほうがいいよ。
パラス,パラスからようぶんをすいとっておおきくなるキノコはとうちゅうかそうとよばれている。ちょうじゅのくすりになるきちょうなキノコ。
パラセクト,パラセクトはしゅうだんでたいぼくのねもとにくっついてえいようをすいとってしまう。かれるといっせいにべつのきにいどうする。
コンパン,みをまもるためにほそくかたいたいもうがぜんしんをおおうようになったといわれる。ちいさなえものもみのがさないめをもつ。
モルフォン,やこうせいでよるにかつどうをはじめる。がいとうのあかりにさそわれあつまったちいさなむしをこのんでたべる。
ディグダ,ほとんどののうかはディグダをそだてている。ディグダがあなをほったとちはほどよくたがやされおいしいやさいがつくれるからだ。
ダグトリオ,もともとひとつのからだから3つごになったのでみんなかんがえることはおなじ。ちからをあわせどこまでもほりすすむ。
ニャース,するどいツメをひっこめてぬきあしさしあしあしおとをたてずにあるくことができる。キラキラひかるコインがなぜかだいすきだ。
ペルシアン,たくましい6ぽんのヒゲはくうきのうごきでまわりのようすをキャッチするやくわり。ヒゲをつかまれるとおとなしくなってしまう。
コダック,ふしぎなちからをはっきしているコダックからねむっているときにだけでるはずののうはがかんそくされてがっかいのわだいになった。
ゴルダック,てあしのみずかきとりゅうせんけいのからだがすいちゅうでおそるべきスピードをうみだす。きんメダリストよりもだんぜんはやいぞ。
マンキー,からだがふるえはないきがあらくなればおこりだすまえぶれなのだがあっというまにはげしくおこるのでにげだすひまはない。
オコリザル,はげしくおこることでけっこうがよくなりきんにくのちからをつよくするのだ。ただしあたまのかいてんはおそくなるぞ。
ガーディ,きゅうかくにすぐれいちどかいだにおいはなにがあってもぜったいにわすれない。あいてのきもちをにおいでさっちする。
ウインディ,10000キロのきょりをいっちゅうやではしるといわれているかいそくのポケモン。たいないでもえさかるほのおがパワーとなる。
ニョロモ,うずまきもようのないぞうがすけてしまうほどうすいひふだがするどいキバをはねかえすだんりょくをもっているのだ。
ニョロゾ,いつもからだのひょうめんがえきたいでぬるぬるぬれているためてきにつかまってもぬるりとすりぬけにげることができるぞ。
ニョロボン,はったつしたきょうじんなきんにくはどんなにうんどうしてもつかれることはない。たいへいようもかるくおうだんできるほどだ。
ケーシィ,1にち18じかんねむっているポケモン。ねむったままでもてきのけはいをさっちするとテレポートしてにげることができるぞ。
ユンゲラー,ずつうをおこすとくしゅなアルファはをだすのでつよいせいしんりょくのもちぬしじゃないとユンゲラーのトレーナーにはなれない。
フーディン,のうがどんどんおおきくなったのでくびではささえきれないほどあたまがおもくなった。ちょうのうりょくであたまをささえているのだ。
ワンリキー,どんなにうんどうをしてもいたくならないとくべつなきんにくをもつポケモン。おとな100にんをなげとばすパワー。
ゴーリキー,きたえあげたきんにくははがねのかたさ。すもうとりのからだもゆび1ぽんでらくらくもちあげてしまうかいりきのポケモンだ。
カイリキー,なんでもなげとばすパワーをもつがこまかいさぎょうをするとうでがからまってしまう。かんがえるよりもさきにからだがうごく。
マダツボミ,ほそくしなやかなからだはどんなつよいこうげきでもしなってよけることができる。くちからてつもとかしてしまうえきをだす。
ウツドン,よるになるとおしりのフックをきのえだにひっかけてぶらさがりねむりにつく。ねぞうがわるいとあさおっこちているよ。
ウツボット,あたまについているながいつるをちいさないきものにみえるうごきでえものをさそいちかづいてきたところをぱくりとひとのみ。
メノクラゲ,からだのほとんどがみずでできているのでうみからでるとからからにひからびてしまう。ひからびたときはうみにもどしてあげよう。
ドククラゲ,あたまのあかいたまがひかるときはげしいちょうおんぱがあたりにはっしゃされる。そのときかいめんがはげしくなみうつという。
イシツブテ,ながいきのイシツブテほどからだのかどはけずれまるくなっていくがきもちはいつまでもごつごつとがってあらあらしいのだ。
ゴローン,いわをたべてせいちょうするポケモンだ。コケのついたいわのほうがすきらしい。1にちに1トンのいわをたべてしまうぞ。
ゴローニャ,おおきなじしんがおこるとやまにすんでいるゴローニャがなんびきもふもとまでごろごろころがりおちてくることがあるよ。
ポニータ,うまれてすぐはたちあがるのもやっとだがころびながらおやのあとをおいかけているうちにじょうぶなあしこしにそだつのだ。
ギャロップ,いつもはのんびりのはらをかけまわっているがひとたびほんきをだすとたてがみのほのおがもえあがりじそく240キロではしりだす。
ヤドン,しっぽをかわにいれてエサをつっているがそのうちなにをしているのかわすれてしまいかわべりにねそべったまま1にちをおえる。
ヤドラン,シェルダーがかみついているのでしっぽでエサをつれなくなったヤドランはしぶしぶすいちゅうをおよいでエサをつかまえている。
コイル,でんせんにくっついてでんきをたべている。ていでんになったらブレーカーをしらべよう。コイルがびっしりくっついているかも。
レアコイル,つよいじりょくできかいをこわしてしまうのでおおきなまちではサイレンをならしてレアコイルのたいりょうはっせいをしらせる。
カモネギ,もっているしょくぶつのクキにもよいものとそうでないものがあるらしくカモネギどうしがクキをめぐってたたかうことがある。
ドードー,2つのあたまがどうじにねむることはない。ねているときてきからおそわれないようにかわりばんこでみはりをしているからだ。
ドードリオ,3つのあたまがべつべつのほうこうをむいているときはけいかいしているしょうこ。うかつにちかよるとくちばしでつつかれるぞ。
